物件ID,行動名單,名稱,社區,公開地址,行政區,產品階段,住宅類型,登記用途,格局,樓層,總樓層,屋齡(年),電梯,管理費,最低刊登價(萬),最高刊登價(萬),有車位,總價含車位,車位價(萬),車位必買,預算判斷(8000萬),可確認總價(萬),預算判斷說明,主建物(坪),附屬建物(坪),主+附(坪),平台僅揭露之主+附合計(坪),共有部分(坪),車位(坪),權狀總坪,A口徑(主建物>=26),B口徑(主+附>=26),面積標示,最近出入口,步行公尺(估算),步行分鐘(估算),步行測量方式,位置精度,開價÷主建物(萬/坪),扣車位建坪單價(萬/坪),可售狀態,平台數,平台與物件編號,原始網址,查閱時間,臨路或巷內,主要生活機能,已深度查核,第一輪,主要優點,主要疑慮,待確認事項
XA-045,優先看屋,謙信綠寶大樓｜仁愛公園華廈鼎佳,謙信綠寶大樓,台北市大安區大安路一段,大安區,中古屋,華廈,住家用,5房(室)4廳3衛,7,7,48.8,有,5500元/每月,6188,6188,無,,,,符合,6188,"無車位，總價：6,188 萬 ≤ 預算 8,000 萬",40.2,6.08,46.28,,7.99,,54.27,符合,符合,主建物符合 26 坪,1,928.6,12,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,153.93,114.02,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:2106851 | 住商不動產:WS34556 | 信義房屋:53992D | 永慶房屋:6243464,https://buy.cthouse.com.tw/house/2106851.html | https://www.hbhousing.com.tw/detail?sn=WS34556 | https://www.sinyi.com.tw/buy/house/53992D | https://buy.yungching.com.tw/house/6243464,2026-09-20T13:24:09+08:00 | 2026-09-20T13:27:14+08:00 | 2026-09-20T13:30:21+08:00 | 2026-09-20T13:28:06+08:00,,,,,主建物 40.2 坪，高於門檻 14.2 坪,屋齡 48.8 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-046,先補資料再決定,宏普帛詩華｜帛詩華景觀大戶,宏普帛詩華,台北市信義區基隆路二段,信義區,中古屋,電梯大樓,住家用 ／ 集合住宅,2房(室)2廳2衛,15,15,11.8,有,"10,627元/月,月繳",7600,7600,有,是,220,,符合,7600,"含車位總價：7,600 萬 ≤ 預算 8,000 萬",32.72,5.35,38.07,,22.06,4.2,60.13,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,225.55,131.95,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2107243 | 永慶房屋:7358999,https://buy.cthouse.com.tw/house/2107243.html | https://buy.yungching.com.tw/house/7358999,2026-09-20T13:23:42+08:00 | 2026-09-20T13:32:44+08:00,,,,,主建物 32.72 坪，高於門檻 6.7 坪,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 12 分，誤差大）
XA-047,優先看屋,忠孝聯陽｜東區獨棟住辦華廈,忠孝聯陽,台北市大安區延吉街,大安區,中古屋,華廈,集合住宅 ／ 住家用,5房(室)1廳2衛,4,7,44.7,有,4300元/每月,5480,5480,無,,,,符合,5480,"無車位，總價：5,480 萬 ≤ 預算 8,000 萬",36.74,6.68,43.42,,4.18,,47.6,符合,符合,主建物符合 26 坪,5,997.3,12.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,149.16,115.13,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:2107851 | 住商不動產:WS85540 | 信義房屋:0809YV | 永慶房屋:6475598,https://buy.cthouse.com.tw/house/2107851.html | https://www.hbhousing.com.tw/detail?sn=WS85540 | https://www.sinyi.com.tw/buy/house/0809YV | https://buy.yungching.com.tw/house/6475598,2026-09-20T13:28:17+08:00 | 2026-09-20T13:28:19+08:00 | 2026-09-20T13:36:25+08:00 | 2026-09-20T13:29:12+08:00,,,,,主建物 36.74 坪，高於門檻 10.7 坪,屋齡 44.7 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-048,先補資料再決定,國父紀念館美廈,,台北市大安區光復南路,大安區,中古屋,電梯大樓,住家用,4房(室)2廳2衛,9,12,39.08,有,4760元/每月,4499,4499,有,,,,待確認,,有車位但是否含在總價不明 → 總價待確認,31.87,2.04,33.91,,9.52,,43.43,符合,符合,主建物符合 26 坪,5,625.9,8,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,,,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2108421 | 住商不動產:WS71216,https://buy.cthouse.com.tw/house/2108421.html | https://www.hbhousing.com.tw/detail?sn=WS71216,2026-09-20T13:26:11+08:00 | 2026-09-20T13:26:51+08:00,,,,,總價 4499 萬，保留較多預算空間,總價待確認,有車位，但刊登總價是否含車位、車位價格、能否分售不明；車位面積未揭露：無法確認權狀坪數中有多少是車位
XA-049,先補資料再決定,世貿捷運收租五房,,臺北市信義區吳興街,信義區,中古屋,電梯大樓,商業用,5房4.5衛5陽台,2,7,45.42,有,"每戶1,200(元)/月",3600,3600,無,,,,符合,3600,"無車位，總價：3,600 萬 ≤ 預算 8,000 萬",26.87,4.81,31.68,,,,31.68,符合,符合,主建物符合 26 坪,4,728.4,9.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,133.98,113.64,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:2114185,https://buy.cthouse.com.tw/house/2114185.html,2026-09-20T13:27:23+08:00,,,,,總價 3600 萬，保留較多預算空間,住宅用途待確認,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；登記用途含非純住家項目（商業用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-050,先補資料再決定,&仁愛光復國館美廈,,台北市大安區光復南路,大安區,中古屋,電梯大樓,辦公室 ／ 商業用,4室2廳2衛,6,12,42.17,有,5460元/每月,4510,4510,無,,,,符合,4510,"無車位，總價：4,510 萬 ≤ 預算 8,000 萬",39.46,,,,6.08,,45.54,符合,符合,主建物符合 26 坪,5,657.8,8.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,114.29,99.03,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2115003 | 住商不動產:WS79272,https://buy.cthouse.com.tw/house/2115003.html | https://www.hbhousing.com.tw/detail?sn=WS79272,2026-09-20T13:27:07+08:00 | 2026-09-20T13:26:57+08:00,,,,,主建物 39.46 坪，高於門檻 13.5 坪,住宅用途待確認,附屬建物坪數未揭露；登記用途含非純住家項目（辦公室、商業用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-051,優先看屋,客廳可看公園大空間美寓,,台北市信義區吳興街,信義區,中古屋,公寓,住家用 ／ 集合住宅,3房2廳2衛,4,4,51.5,無,,2980,2980,無,,,,符合,2980,"無車位，總價：2,980 萬 ≤ 預算 8,000 萬",32.42,4.59,37.01,,,,37.01,符合,符合,主建物符合 26 坪,4,1121.6,14.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,91.92,80.52,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:2116572 | 住商不動產:WS76854 | 信義房屋:7984RD,https://buy.cthouse.com.tw/house/2116572.html | https://www.hbhousing.com.tw/detail?sn=WS76854 | https://www.sinyi.com.tw/buy/house/7984RD,2026-09-20T13:26:53+08:00 | 2026-09-20T13:28:28+08:00 | 2026-09-20T13:24:36+08:00,,,,,主建物 32.42 坪，高於門檻 6.4 坪,屋齡 51.5 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；管理費未揭露
XA-052,先補資料再決定,世貿101華廈,,臺北市信義區吳興街,信義區,中古屋,電梯大樓,,2房2廳1衛1室,3,6,36.83,有,"每坪1,630(元)/月",3260,3260,無,,,,符合,3260,"無車位，總價：3,260 萬 ≤ 預算 8,000 萬",24.47,2.73,27.2,,1.96,,32.76,不符合,符合,主＋附符合26坪；主建物未達26坪,4,716.2,9,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,133.22,99.51,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:2118137,https://buy.cthouse.com.tw/house/2118137.html,2026-09-20T13:24:55+08:00,,,,,公設比低（約 6%）,屋齡 36.83 年：需留意管線、防水與貸款年限,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；謄本登記用途未揭露（需確認為住家用）
XA-053,優先看屋,&忠孝美裝潢鼎佳,,台北市大安區忠孝東路四段,大安區,中古屋,華廈,集合住宅 ／ 住家用,6房(室)3廳3衛,7,7,47.2,有,3000元/每月,5588,5588,無,,,,符合,5588,"無車位，總價：5,588 萬 ≤ 預算 8,000 萬",31.66,5.58,37.24,,6.5,,43.75,符合,符合,主建物符合 26 坪,1,947.6,12,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,176.50,127.73,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:2118578 | 住商不動產:WS56748 | 信義房屋:38547X | 永慶房屋:7180612,https://buy.cthouse.com.tw/house/2118578.html | https://www.hbhousing.com.tw/detail?sn=WS56748 | https://www.sinyi.com.tw/buy/house/38547X | https://buy.yungching.com.tw/house/7180612,2026-09-20T13:26:48+08:00 | 2026-09-20T13:28:21+08:00 | 2026-09-20T13:29:18+08:00 | 2026-09-20T13:31:20+08:00,,,,,公設比低（約 15%）,屋齡 47.2 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-054,優先看屋,㊣店長推薦信義安和美居㊣,,台北市大安區通化街,大安區,中古屋,公寓,住家用,3房2廳2衛,4,5,48.58,無,每戶300(元)/月,2880,2880,無,,,,符合,2880,"無車位，總價：2,880 萬 ≤ 預算 8,000 萬",30.24,6.4,36.64,,,,36.64,符合,符合,主建物符合 26 坪,4,415.5,5.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,95.24,78.60,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2119429 | 信義房屋:2759QX,https://buy.cthouse.com.tw/house/2119429.html | https://www.sinyi.com.tw/buy/house/2759QX,2026-09-20T13:26:43+08:00 | 2026-09-20T13:24:22+08:00,待確認：平台只揭露『通化街』。建物朝北（座南朝北），較可能在東西向巷內或轉角，而非正面臨通化街；需以門牌確認與夜市／市場段的相對位置。,通化街（臨江街）夜市／市場（信義房屋頁面：約100m）、家樂福超市（信義房屋頁面：約82m）、全聯福利中心（信義房屋頁面：約376m）、捷運信義安和站出口4（信義房屋頁面：約423m）、三興國小（信義房屋頁面：約314m；中信房屋亦列為鄰近學校；非指學區）,是,,步行約 5.5 分、主建物 30.24 坪，兩平台數字一致、無車位問題,48 年無電梯 4 樓原始屋況，格局圖標註陽台加蓋／外移，離夜市約 100 公尺,實際門牌／巷弄：是否正面臨通化街、離夜市入口多遠。；謄本與建物測量成果圖：主建物是否含梯間、陽台 6.4 坪的位置。；增建範圍、施作年代、是否曾被查報。；頂樓（5 樓與屋頂平台）是否有加蓋、屋頂防水現況。；管線、防水、門窗的更新紀錄；漏水修繕紀錄。；氯離子（海砂）與輻射檢測資料。；使用分區（頁面寫請見說明書）與土地持分 9.8 坪對應的基地資訊。
XA-055,優先看屋,愛儷園｜信義安和愛儷園大樓,愛儷園,台北市大安區安和路一段,大安區,中古屋,電梯大樓,住家用,4房(室)2廳2衛,11,12,49.4,有,"6,000元/每月（僅住商不動產列出；信義、中信、永慶未列金額）",7250,7250,無,,,,符合,7250,"無車位，總價：7,250 萬 ≤ 預算 8,000 萬",49.75,7.58,57.33,,4.29,,61.62,符合,符合,主建物符合 26 坪,1,234,3,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,145.73,117.66,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:2121305 | 住商不動產:WS84476 | 信義房屋:7575XB | 永慶房屋:7473915,https://buy.cthouse.com.tw/house/2121305.html | https://www.hbhousing.com.tw/detail?sn=WS84476 | https://www.sinyi.com.tw/buy/house/7575XB | https://buy.yungching.com.tw/house/7473915,2026-09-20T13:26:32+08:00 | 2026-09-20T13:25:22+08:00 | 2026-09-20T13:31:20+08:00 | 2026-09-20T13:30:27+08:00,推定在安和路一段與90巷口的 12 層大樓（實價登錄同棟門牌為安和路一段80號與90巷1號；住商頁面「面臨路寬約8米」與巷內門牌相符）。本棟緊鄰安和路一段，但本戶出入口與開窗面向哪一側待確認。,捷運信義安和站（信義房屋頁面：出口1 約234公尺）、仁愛國小（住商頁面：124公尺）、仁愛國中（239公尺）、通化街／臨江街商圈與市場（住商、永慶頁面提及）、國父紀念館（住商頁面：993公尺）、國泰綜合醫院（中信文案提及）,是,是,主建物 49.75 坪、公設比約 7%、步行約 3 分鐘，且有同戶型同棟成交可比價,屋齡 49 年、格局圖標註陽台外移，開價比同戶型 10 樓在 2024-09 的成交高約 19%,"確切門牌與本戶在 80號／90巷1號的哪一側（目前是依面積相同所做的推定）。；陽台外移的範圍、有無被查報或列管；建物測量成果圖。；管理費金額（僅住商列 6,000 元/月）、管委會財務、拉皮年份與是否仍有攤提款。；海砂（氯離子）、輻射檢測與耐震評估文件；電梯更新紀錄。；屋況：漏水、壁癌修繕紀錄、管線是否更新、目前是否空屋。；社區或鄰近有無可承租的車位。"
XA-056,優先看屋,鴻福大樓｜信義安和捷運旁大樓,鴻福大樓,台北市大安區仁愛路四段,大安區,中古屋,電梯大樓,住家用 ／ 集合住宅,4房2廳2衛,14,14,43.1,有,"每月約 3,655 元。",4460,4560,無,,,,符合,4560,"無車位，總價：4,560 萬 ≤ 預算 8,000 萬",36.11,1.94,38.05,,5.06,,43.11,符合,符合,主建物符合 26 坪,1,236.9,3,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,126.28,105.78,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:2122058 | 住商不動產:WS80892 | 信義房屋:9275GQ | 有巢氏房屋:7451529,https://buy.cthouse.com.tw/house/2122058.html | https://www.hbhousing.com.tw/detail?sn=WS80892 | https://www.sinyi.com.tw/buy/house/9275GQ | https://buy.u-trust.com.tw/house/7451529,2026-09-20T13:26:21+08:00 | 2026-09-20T13:25:20+08:00 | 2026-09-20T13:27:07+08:00 | 2026-09-20T13:38:59+08:00,,,,,步行約 3 分到捷運出入口,屋齡 43.1 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,各平台開價不一致（4460～4560 萬）：需確認屋主實際委託價
XA-057,先補資料再決定,安和大樓｜安和遠企看綠意可店辦住,安和大樓,台北市大安區安和路二段,大安區,中古屋,電梯大樓,住商用,4房2廳2衛,2,12,45.42,有,"每月約 3,500 元。",5200,5200,無,,,,符合,5200,"無車位，總價：5,200 萬 ≤ 預算 8,000 萬",31.72,5.67,37.39,,5.36,,42.75,符合,符合,主建物符合 26 坪,2A,994.9,12.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,163.93,121.64,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:2123761 | 信義房屋:7215FB | 永慶房屋:7427829,https://buy.cthouse.com.tw/house/2123761.html | https://www.sinyi.com.tw/buy/house/7215FB | https://buy.yungching.com.tw/house/7427829,2026-09-20T13:26:09+08:00 | 2026-09-20T13:36:23+08:00 | 2026-09-20T13:30:04+08:00,,,,,公設比低（約 13%）,住宅用途待確認,登記用途含非純住家項目（住商用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-058,優先看屋,信愛大廈｜安和路一段電梯美三房,信愛大廈,臺北市大安區安和路1段,大安區,中古屋,電梯大樓,住家用,4房2廳2衛,4,12,49.08,有,"每戶2,500(元)/月",5800,5800,無,,,,符合,5800,"無車位，總價：5,800 萬 ≤ 預算 8,000 萬",35.88,6.02,41.9,,4.51,,46.4,符合,符合,主建物符合 26 坪,1,116.6,1.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,161.65,125.00,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:2123915,https://buy.cthouse.com.tw/house/2123915.html,2026-09-20T13:25:48+08:00,地址只到安和路一段。依屋齡（約 1977-08 完工）、12 層與面積型態，推定為安和路一段104–110號一帶、近信義路口的臨路大樓（研究推定，門牌待確認）；安和路一段為次要幹道，沿線有餐飲與夜間營業店家。本戶面安和路或面後側待確認。,信義安和站出口1（地圖估算約 120 m）、仁愛國小、仁愛國中（頁面列示學校）、信義路／安和路口公車站（頁面列示）、通化街／臨江街夜市商圈（信義路南側，步行可達）,是,,步行約 1.5 分到出口1、主建物 35.88 坪、12 層電梯大樓已裝修,屋齡約 49 年、3 處陽台外推，開價每主建物坪 161.6 萬高於推定同棟一般樓層成交 21–26%,確切門牌與棟別（推定 104–110號，待確認）、本戶面安和路或面後側；管理方式（有無管理員）、公共基金、近年公共修繕；裝潢年份與管線是否更新；陽台外推的施作時間與有無查報；完工日期（頁面只有屋齡）
XA-059,先補資料再決定,信義安和｜通化核心商圈｜面寬一樓,,臺北市大安區通化街,大安區,中古屋,公寓,住家用,4房3廳4衛,1,4,49.92,無,,4999,4999,無,,,,符合,4999,"無車位，總價：4,999 萬 ≤ 預算 8,000 萬",27.2,,,,,,27.2,待確認,待確認,面積待確認,4,293.9,4,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,183.79,183.79,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:2124220,https://buy.cthouse.com.tw/house/2124220.html,2026-09-20T13:25:54+08:00,,,,,步行約 4 分到捷運出入口,面積待確認,刊登頁的主建物等於總建坪（27.2 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；管理費未揭露
XA-060,先補資料再決定,安和大樓｜安和遠企幽情逸致美屋,安和大樓,台北市大安區安和路二段,大安區,中古屋,電梯大樓,住商用,3房1廳2衛,2,12,45.5,有,"每月約 3,500 元。",4500,4500,無,,,,符合,4500,"無車位，總價：4,500 萬 ≤ 預算 8,000 萬",31.72,4.34,36.06,,5.36,,41.41,符合,符合,主建物符合 26 坪,2A,1008.5,13,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,141.87,108.67,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:2124610 | 信義房屋:1548RG | 永慶房屋:7292647,https://buy.cthouse.com.tw/house/2124610.html | https://www.sinyi.com.tw/buy/house/1548RG | https://buy.yungching.com.tw/house/7292647,2026-09-20T13:24:27+08:00 | 2026-09-20T13:27:20+08:00 | 2026-09-20T13:31:38+08:00,,,,,公設比低（約 13%）,住宅用途待確認,登記用途含非純住家項目（住商用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-061,先補資料再決定,敦南桃花園美居壹樓,,台北市大安區四維路,大安區,中古屋,公寓,集合住宅 ／ (空白) ／ 住宅,3房(室)2廳2衛,1,4,59.25,無,,5300,5300,無,,,,符合,5300,"無車位，總價：5,300 萬 ≤ 預算 8,000 萬",29.91,,,,,,29.91,待確認,待確認,面積待確認,2,727.6,9.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,177.20,177.20,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:2124723 | 住商不動產:WS74027 | 台灣房屋:TF02565821,https://buy.cthouse.com.tw/house/2124723.html | https://www.hbhousing.com.tw/detail?sn=WS74027 | https://www.twhg.com.tw/buy/TF02565821,2026-09-20T13:25:05+08:00 | 2026-09-20T13:26:40+08:00 | 2026-09-20T13:26:23+08:00,,,,,步行約 9.5 分，屬優先範圍,面積待確認,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；刊登頁的主建物等於總建坪（29.91 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；管理費未揭露
XA-062,先補資料再決定,員慶信義｜大員慶信義高樓大廈,員慶信義,台北市信義區信義路四段,信義區,中古屋,電梯大樓,住家用 ／ 集合住宅,6房3衛,11,12,39,有,"每月約 4,000 元。",4188,4398,無,,,,符合,4398,"無車位，總價：4,398 萬 ≤ 預算 8,000 萬",33.08,3.82,36.9,,3.16,,40.05,符合,符合,主建物符合 26 坪,5,530.2,7,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,132.95,109.81,研究日查得刊登頁，實際可售狀態待確認,6,中信房屋:2125328 | 住商不動產:WS82138 | 太平洋房屋:S3144701 | 信義房屋:8023TK | 有巢氏房屋:7448176 | 永慶房屋:7434106,https://buy.cthouse.com.tw/house/2125328.html | https://www.hbhousing.com.tw/detail?sn=WS82138 | https://www.pacific.com.tw/Object/ObjectDetail/?saleID=S3144701 | https://www.sinyi.com.tw/buy/house/8023TK | https://buy.u-trust.com.tw/house/7448176 | https://buy.yungching.com.tw/house/7434106,2026-09-20T13:25:15+08:00 | 2026-09-20T13:26:53+08:00 | 2026-09-20T13:41:57+08:00 | 2026-09-20T13:26:40+08:00 | 2026-09-20T13:35:22+08:00 | 2026-09-20T13:32:36+08:00,,,,,主建物 33.08 坪，高於門檻 7.1 坪,屋齡 39 年：需留意管線、防水與貸款年限,現況是否為隔套收租產品待確認；各平台開價不一致（4188～4398 萬）：需確認屋主實際委託價
XA-063,目前不符合條件,前鋒大廈｜近信義安和電梯三房,前鋒大廈,台北市大安區信義路四段,大安區,中古屋,電梯大樓,住家用 ／ 集合住宅,3房2廳1衛,3,14,49.33,有,"每月約 2,022 元。",3258,3258,無,,,,符合,3258,"無車位，總價：3,258 萬 ≤ 預算 8,000 萬",24.35,0.93,25.28,,,,25.28,不符合,不符合,兩種口徑皆未達 26 坪,5,54.4,1,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,133.80,128.88,研究日查得刊登頁，實際可售狀態待確認,5,中信房屋:2125458 | 住商不動產:WS74738 | 信義房屋:4661JZ | 有巢氏房屋:7260661 | 永慶房屋:7231731,https://buy.cthouse.com.tw/house/2125458.html | https://www.hbhousing.com.tw/detail?sn=WS74738 | https://www.sinyi.com.tw/buy/house/4661JZ | https://buy.u-trust.com.tw/house/7260661 | https://buy.yungching.com.tw/house/7231731,2026-09-20T13:25:50+08:00 | 2026-09-20T13:25:17+08:00 | 2026-09-20T13:24:56+08:00 | 2026-09-20T13:32:41+08:00 | 2026-09-20T13:28:24+08:00,,,,,步行約 1 分到捷運出入口,主建物與主＋附皆未達 26 坪,
XA-064,優先看屋,敦南富邑｜敦南信義名邸邊間高樓四房,敦南富邑,台北市大安區敦化南路二段,大安區,中古屋,電梯大樓,住家用,4房(室)2廳2衛,13,18,39.2,有,4600元/每月,6380,6380,無,,,,符合,6380,"無車位，總價：6,380 萬 ≤ 預算 8,000 萬",34.44,4.07,38.51,,7.43,,45.94,符合,符合,主建物符合 26 坪,2,496.6,6.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,185.25,138.88,研究日查得刊登頁，實際可售狀態待確認,5,中信房屋:2126685 | 住商不動產:WS73320 | 信義房屋:9318XS | 有巢氏房屋:6763228 | 永慶房屋:7134379,https://buy.cthouse.com.tw/house/2126685.html | https://www.hbhousing.com.tw/detail?sn=WS73320 | https://www.sinyi.com.tw/buy/house/9318XS | https://buy.u-trust.com.tw/house/6763228 | https://buy.yungching.com.tw/house/7134379,2026-09-20T13:25:36+08:00 | 2026-09-20T13:26:08+08:00 | 2026-09-20T13:30:31+08:00 | 2026-09-20T13:34:14+08:00 | 2026-09-20T13:28:56+08:00,,,,,主建物 34.44 坪，高於門檻 8.4 坪,屋齡 39.2 年：需留意管線、防水與貸款年限,
XA-065,優先看屋,大安核心捷運靜巷質感美宅,,臺北市大安區東豐路,大安區,中古屋,電梯大樓,住家用,4房2廳2衛1陽,4,6,53.8,有,"每戶2,000(元)/月",4880,4880,無,,,,符合,4880,"無車位，總價：4,880 萬 ≤ 預算 8,000 萬",44.09,,,,,,44.09,符合,符合,主建物符合 26 坪,1,773.8,10,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝東森房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,110.68,110.68,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2127674 | 東森房屋:771208,https://buy.cthouse.com.tw/house/2127674.html | https://www.etwarm.com.tw/houses/buy/771208,2026-09-20T13:25:02+08:00 | 2026-09-20T13:23:51+08:00,,,,,主建物 44.09 坪，高於門檻 18.1 坪,屋齡 53.8 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；附屬建物坪數未揭露
